id,name,documents_url,announcement_url,notices_url
dist-22-gariyaband-coll,Gariyaband District Collectorate,https://gariaband.gov.in/documents/,,
dist-22-gaurela_pendra_marwahi-coll,Gaurela-Pendra-Marwahi District Collectorate,https://gaurela-pendra-marwahi.cg.gov.in/documents/,,
dist-22-janjgir_champa-coll,Janjgir-Champa District Collectorate,https://janjgir-champa.gov.in/documents/,,
dist-22-jashpur-coll,Jashpur District Collectorate,https://jashpur.nic.in/documents/,,
dist-22-kabeerdham-coll,Kabeerdham District Collectorate,https://kawardha.gov.in/documents/,,
dist-22-kondagaon-coll,Kondagaon District Collectorate,https://kondagaon.gov.in/documents/,,
dist-22-korba-coll,Korba District Collectorate,https://korba.gov.in/documents/,,
dist-22-korea-coll,Korea District Collectorate,https://korea.gov.in/documents/,,
dist-22-mahasamund-coll,Mahasamund District Collectorate,https://mahasamund.gov.in/documents/,,
dist-22-manendragarh_chirmiri_bharatpurm_c_b-coll,Manendragarh-Chirmiri-Bharatpur(M C B) District Collectorate,https://bharatpur.rajasthan.gov.in/documents/,https://bharatpur.rajasthan.gov.in/notice_category/announcement/,https://bharatpur.rajasthan.gov.in/notice_category/notices/
dist-22-mohla_manpur_ambagarh_chouki-coll,Mohla-Manpur-Ambagarh Chouki District Collectorate,https://mohla-manpur-ambagarhchowki.cg.gov.in/documents/,,
dist-22-mungeli-coll,Mungeli District Collectorate,https://mungeli.gov.in/documents/,,
dist-22-narayanpur-coll,Narayanpur District Collectorate,https://narayanpur.gov.in/documents/,,
dist-22-raigarh-coll,Raigarh District Collectorate,https://raigarh.gov.in/documents/,,
dist-22-raipur-coll,Raipur District Collectorate,,,
dist-22-rajnandgaon-coll,Rajnandgaon District Collectorate,https://rajnandgaon.nic.in/documents/,,
dist-22-sarangarh_bilaigarh-coll,Sarangarh-Bilaigarh District Collectorate,https://saran.nic.in/documents/,,
dist-22-sukma-coll,Sukma District Collectorate,https://sukma.gov.in/documents/,,
dist-22-surajpur-coll,Surajpur District Collectorate,https://surajpur.nic.in/documents/,,
dist-22-surguja-coll,Surguja District Collectorate,https://surguja.gov.in/documents/,,
dist-22-uttar_bastar_kanker-coll,Uttar Bastar Kanker District Collectorate,https://kanker.gov.in/documents/,,
